nodes number,make tableau time,pivoting time,equation solving time,total time,pivoting steps
1,0.0,0.0,0.0,0.0,1
2,0.0,0.0,0.0,0.0,5
3,0.0,0.0,0.0,0.0,12
4,0.0,0.0,0.0,0.0,24
5,0.0,0.0,0.0,0.0,41
6,0.0,0.0,0.0,0.0,65
7,0.0,0.0,0.0,0.0,96
8,0.0,0.0,0.0,0.0,136
9,0.0,0.0,0.0,0.0,185
10,0.0,0.015620231628417969,0.0,0.015620231628417969,245
11,0.0,0.0,0.0,0.0,316
12,0.0,0.0,0.0,0.0,400
13,0.0,0.0,0.0,0.0,497
14,0.0,0.015626907348632812,0.0,0.015626907348632812,609
15,0.0,0.01562643051147461,0.0,0.01562643051147461,736
16,0.0,0.0,0.0,0.0,880
17,0.0,0.03125286102294922,0.0,0.03125286102294922,1041
18,0.0,0.015627145767211914,0.0,0.015627145767211914,1221
19,0.0,0.015626907348632812,0.0,0.015626907348632812,1420
20,0.01562643051147461,0.01562666893005371,0.0,0.03125309944152832,1640
21,0.0,0.03125286102294922,0.0,0.03125286102294922,1881
22,0.015626907348632812,0.03125882148742676,0.0,0.04688572883605957,2145
23,0.0,0.04687356948852539,0.0,0.04687356948852539,2432
24,0.0,0.06251382827758789,0.0,0.06251382827758789,2744
25,0.0,0.04687952995300293,0.0,0.04687952995300293,3081
26,0.0,0.07813310623168945,0.0,0.07813310623168945,3445
27,0.0,0.07813334465026855,0.0,0.07813334465026855,3836
28,0.0,0.07813549041748047,0.0,0.07813549041748047,4256
29,0.0,0.09375739097595215,0.0,0.09375739097595215,4705
30,0.0,0.10938000679016113,0.0,0.10938000679016113,5185
31,0.0,0.10939335823059082,0.0,0.10939335823059082,5696
32,0.0,0.14064574241638184,0.0,0.14064574241638184,6240
33,0.0,0.1406397819519043,0.0,0.1406397819519043,6817
34,0.0,0.15760254859924316,0.0,0.15760254859924316,7429
35,0.0,0.17189288139343262,0.0,0.17189288139343262,8076
36,0.015628337860107422,0.17187952995300293,0.0,0.18750786781311035,8760
37,0.0,0.20315241813659668,0.0,0.20315241813659668,9481
38,0.0,0.21879863739013672,0.0,0.21879863739013672,10241
39,0.0,0.25002002716064453,0.0,0.25002002716064453,11040
40,0.0,0.2656583786010742,0.0,0.2656583786010742,11880
41,0.0,0.2812798023223877,0.0,0.2812798023223877,12761
42,0.0,0.3125336170196533,0.0,0.3125336170196533,13685
43,0.0,0.3437919616699219,0.0,0.3437919616699219,14652
44,0.0,0.37503957748413086,0.0,0.37503957748413086,15664
45,0.0,0.40628647804260254,0.0,0.40628647804260254,16721
46,0.015627622604370117,0.4302632808685303,0.0,0.4458909034729004,17825
47,0.0010886192321777344,0.4849395751953125,0.0,0.48602819442749023,18976
48,0.0020046234130859375,0.5245018005371094,0.0,0.5265064239501953,20176
49,0.0,0.5625653266906738,0.0,0.5625653266906738,21425
50,0.0,0.5916261672973633,0.0,0.5916261672973633,22725
51,0.015626907348632812,0.6496841907501221,0.0,0.6653110980987549,24076
52,0.0,0.6767063140869141,0.0,0.6767063140869141,25480
53,0.0,0.7188057899475098,0.0,0.7188057899475098,26937
54,0.0,0.7880806922912598,0.0,0.7880806922912598,28449
55,0.015626907348632812,0.8945925235748291,0.0,0.9102194309234619,30016
56,0.003008127212524414,0.925548791885376,0.0,0.9285569190979004,31640
57,0.0,0.9532184600830078,0.0,0.9532184600830078,33321
58,0.0,1.0000977516174316,0.0,1.0000977516174316,35061
59,0.0,1.078244686126709,0.0,1.078244686126709,36860
60,0.0,1.142143964767456,0.0,1.142143964767456,38720
61,0.0,1.2188525199890137,0.0,1.2188525199890137,40641
62,0.0,1.3192822933197021,0.0,1.3192822933197021,42625
63,0.0,1.406397819519043,0.0,1.406397819519043,44672
64,0.015627145767211914,1.4981803894042969,0.0,1.5138075351715088,46784
65,0.0,1.6377754211425781,0.0,1.6377754211425781,48961
66,0.015616416931152344,1.6720504760742188,0.0,1.687666893005371,51205
67,0.0,1.8023107051849365,0.0,1.8023107051849365,53516
68,0.0,1.9064531326293945,0.0,1.9064531326293945,55896
69,0.0156252384185791,2.048525094985962,0.0,2.064150333404541,58345
70,0.0,2.0783419609069824,0.0,2.0783419609069824,60865
71,0.01562643051147461,2.242798328399658,0.0,2.258424758911133,63456
72,0.0,2.360769510269165,0.0,2.360769510269165,66120
