nodes number,tree construction time,find aug path time,total time,aug path number,traverse steps
1,0.0,0.0,0.0,1,4
2,0.0,0.0,0.0,2,10
3,0.0,0.0,0.0,3,18
4,0.0,0.0,0.0,4,28
5,0.0,0.0,0.0,5,40
6,0.0,0.0,0.0,6,54
7,0.0,0.0,0.0,7,70
8,0.0,0.0,0.0,8,88
9,0.0,0.0,0.0,9,108
10,0.0,0.0,0.0,10,130
11,0.0,0.0,0.0,11,154
12,0.0,0.0,0.0,12,180
13,0.0,0.0,0.0,13,208
14,0.0,0.0,0.0,14,238
15,0.0,0.0,0.0,15,270
16,0.0,0.0,0.0,16,304
17,0.0,0.0,0.0,17,340
18,0.0,0.0,0.0,18,378
19,0.0,0.0,0.0,19,418
20,0.01562666893005371,0.0,0.01562666893005371,20,460
21,0.0,0.0,0.0,21,504
22,0.0,0.0,0.0,22,550
23,0.0,0.0,0.0,23,598
24,0.0,0.0,0.0,24,648
25,0.0,0.0,0.0,25,700
26,0.0,0.0,0.0,26,754
27,0.0,0.0,0.0,27,810
28,0.0,0.0,0.0,28,868
29,0.015626907348632812,0.0,0.015626907348632812,29,928
30,0.0,0.0,0.0,30,990
31,0.0,0.0,0.0,31,1054
32,0.0,0.0,0.01562643051147461,32,1120
33,0.0,0.0,0.0,33,1188
34,0.0,0.0,0.0,34,1258
35,0.0,0.0,0.0,35,1330
36,0.0,0.0,0.0,36,1404
37,0.0,0.0,0.0,37,1480
38,0.0,0.0,0.01562666893005371,38,1558
39,0.0,0.0,0.0,39,1638
40,0.015627145767211914,0.0,0.015627145767211914,40,1720
41,0.01562666893005371,0.0,0.01562666893005371,41,1804
42,0.0,0.0,0.01562643051147461,42,1890
43,0.0,0.0,0.0,43,1978
44,0.015626907348632812,0.0,0.015626907348632812,44,2068
45,0.01562666893005371,0.0,0.01562666893005371,45,2160
46,0.015627384185791016,0.0,0.015627384185791016,46,2254
47,0.01562643051147461,0.0,0.031253814697265625,47,2350
48,0.0,0.0,0.01562643051147461,48,2448
49,0.0,0.0,0.01562666893005371,49,2548
50,0.01562666893005371,0.0,0.01562666893005371,50,2650
51,0.015627145767211914,0.0,0.03125309944152832,51,2754
52,0.01562643051147461,0.0,0.01562643051147461,52,2860
53,0.015627145767211914,0.0,0.015627145767211914,53,2968
54,0.015626907348632812,0.0,0.015626907348632812,54,3078
55,0.03125286102294922,0.0,0.03125286102294922,55,3190
56,0.0,0.0,0.015626907348632812,56,3304
57,0.03125357627868652,0.0,0.03125357627868652,57,3420
58,0.03125309944152832,0.0,0.03125309944152832,58,3538
59,0.03125309944152832,0.0,0.03125309944152832,59,3658
60,0.03125357627868652,0.0,0.03125357627868652,60,3780
61,0.03125309944152832,0.0,0.03125309944152832,61,3904
62,0.03125286102294922,0.0,0.03125286102294922,62,4030
63,0.046880483627319336,0.0,0.046880483627319336,63,4158
64,0.01562666893005371,0.0,0.03125309944152832,64,4288
65,0.04687976837158203,0.0,0.04687976837158203,65,4420
66,0.03125333786010742,0.0,0.03125333786010742,66,4554
67,0.04687976837158203,0.0,0.04687976837158203,67,4690
68,0.015627145767211914,0.0,0.046880245208740234,68,4828
69,0.03125309944152832,0.0,0.04687952995300293,69,4968
70,0.046880483627319336,0.0,0.046880483627319336,70,5110
71,0.032675981521606445,0.0,0.04830169677734375,71,5254
72,0.046880245208740234,0.0,0.07813525199890137,72,5400
73,0.06250452995300293,0.0,0.06250452995300293,73,5548
74,0.046880245208740234,0.0,0.046880245208740234,74,5698
75,0.03125357627868652,0.0,0.06250691413879395,75,5850
76,0.015625953674316406,0.0,0.06250596046447754,76,6004
77,0.04348134994506836,0.0,0.05910754203796387,77,6160
78,0.06250643730163574,0.0,0.06250643730163574,78,6318
79,0.046880483627319336,0.0,0.06250643730163574,79,6478
80,0.07813358306884766,0.0,0.07813358306884766,80,6640
81,0.06250667572021484,0.0,0.06250667572021484,81,6804
82,0.04687952995300293,0.0,0.06250619888305664,82,6970
83,0.06250691413879395,0.0,0.07813358306884766,83,7138
84,0.04687952995300293,0.0,0.07813310623168945,84,7308
85,0.04688000679016113,0.0,0.07813334465026855,85,7480
86,0.06250739097595215,0.0,0.07813334465026855,86,7654
87,0.07813286781311035,0.0,0.07813286781311035,87,7830
88,0.07813310623168945,0.0,0.09376025199890137,88,8008
89,0.07813358306884766,0.0,0.09375977516174316,89,8188
90,0.07813239097595215,0.0,0.09375905990600586,90,8370
91,0.1250133514404297,0.0,0.1250133514404297,91,8554
92,0.06250643730163574,0.0,0.09375953674316406,92,8740
93,0.06250691413879395,0.0,0.09376025199890137,93,8928
94,0.09375953674316406,0.0,0.10938596725463867,94,9118
95,0.09375953674316406,0.0,0.10938644409179688,95,9310
96,0.10938668251037598,0.0,0.10938668251037598,96,9504
97,0.06250786781311035,0.0,0.10938692092895508,97,9700
98,0.10512566566467285,0.0,0.1367950439453125,98,9898
99,0.10227060317993164,0.0,0.12433052062988281,99,10098
100,0.1102914810180664,0.0,0.1283409595489502,100,10300
101,0.11633634567260742,0.0,0.1624596118927002,101,10504
102,0.12618112564086914,0.0,0.12618112564086914,102,10710
103,0.09375905990600586,0.0,0.1406397819519043,103,10918
104,0.09376025199890137,0.0,0.1406404972076416,104,11128
105,0.140639066696167,0.0,0.140639066696167,105,11340
106,0.1406393051147461,0.0,0.1406393051147461,106,11554
107,0.1250147819519043,0.0,0.15626764297485352,107,11770
108,0.12501263618469238,0.0,0.1562652587890625,108,11988
109,0.15628862380981445,0.0,0.20314741134643555,109,12208
110,0.156266450881958,0.0,0.17189288139343262,110,12430
111,0.15628600120544434,0.0,0.17191362380981445,111,12654
112,0.15624451637268066,0.0,0.17187142372131348,112,12880
113,0.12501215934753418,0.0,0.17189311981201172,113,13108
114,0.17297124862670898,0.0,0.19060397148132324,114,13338
115,0.11780643463134766,0.0,0.2125694751739502,115,13570
116,0.1562666893005371,0.0,0.18751955032348633,116,13804
117,0.17189240455627441,0.0,0.18751931190490723,117,14040
118,0.17191410064697266,0.0,0.20316743850708008,118,14278
119,0.203125,0.0,0.203125,119,14518
120,0.156266450881958,0.0,0.20314669609069824,120,14760
121,0.21875238418579102,0.0,0.23437905311584473,121,15004
122,0.20447993278503418,0.0,0.2201066017150879,122,15250
123,0.156266450881958,0.0,0.21877312660217285,123,15498
124,0.1875171661376953,0.0,0.23439884185791016,124,15748
125,0.21877312660217285,0.0,0.25002622604370117,125,16000
126,0.20314693450927734,0.0,0.2656533718109131,126,16254
127,0.23439860343933105,0.0,0.25002551078796387,127,16510
128,0.23439979553222656,0.0,0.2500264644622803,128,16768
129,0.23439860343933105,0.0,0.2656528949737549,129,17028
130,0.23439884185791016,0.0,0.2969069480895996,130,17290
131,0.20319843292236328,0.0,0.2813138961791992,131,17554
132,0.18749237060546875,0.0,0.2656264305114746,132,17820
133,0.2656857967376709,0.0,0.2813124656677246,133,18088
134,0.26561689376831055,0.0,0.3281259536743164,134,18358
135,0.25035619735717773,0.0,0.2827155590057373,135,18630
136,0.25002503395080566,0.0,0.2969057559967041,136,18904
137,0.25002408027648926,0.0,0.34378671646118164,137,19180
138,0.2812771797180176,0.0,0.3125309944152832,138,19458
139,0.2656517028808594,0.0,0.3125324249267578,139,19738
140,0.2969064712524414,0.0,0.34378647804260254,140,20020
141,0.3281590938568115,0.0,0.3281590938568115,141,20304
142,0.2812814712524414,0.0,0.3281593322753906,142,20590
143,0.2969059944152832,0.0,0.34378647804260254,143,20878
144,0.35941219329833984,0.0,0.39066505432128906,144,21168
145,0.32816076278686523,0.0,0.35941410064697266,145,21460
146,0.3715097904205322,0.0,0.38713669776916504,146,21754
147,0.33586835861206055,0.0,0.37113165855407715,147,22050
148,0.35941338539123535,0.0,0.37503957748413086,148,22348
149,0.42326879501342773,0.0,0.42326879501342773,149,22648
150,0.32816004753112793,0.0,0.3750607967376709,150,22950
151,0.3593933582305908,0.0,0.40627455711364746,151,23254
152,0.4145851135253906,0.0,0.45294880867004395,152,23560
153,0.3906862735748291,0.0,0.42194032669067383,153,23868
154,0.42189908027648926,0.0,0.4531519412994385,154,24178
155,0.3906669616699219,0.0,0.437546968460083,155,24490
156,0.4219202995300293,0.0,0.4375457763671875,156,24804
157,0.45317530632019043,0.0,0.48442816734313965,157,25120
158,0.4062919616699219,0.0,0.45319247245788574,158,25438
159,0.4219191074371338,0.0,0.5000531673431396,159,25758
